Alberto,May 19, May 22,Tropical storm,60 (95),995,Southeastern United States,Minimal,None,
Beryl,May 26, May 30,Tropical storm,70 (110),992,"Cuba, The Bahamas, Southeastern United States (Florida)",148000,1 (2),
Chris,June 18, June 22,Category 1 hurricane,85 (140),974,"Bermuda, Atlantic Canada",None,None,
Debby,June 23, June 27,Tropical storm,65 (100),990,"Cuba, Central America, Southeastern United States (Florida), Bermuda",250000000,7 (3),
Ernesto,August 1, August 10,Category 2 hurricane,100 (155),973,"Windward Islands, Jamaica, Central America, Mexico (Yucatán Peninsula, Veracruz)",252200000,7 (5),
Florence,August 3, August 6,Tropical storm,60 (95),1002,Cape Verde,None,None,
Helene,August 9, August 18,Tropical storm,45 (75),1004,"Windward Islands, Trinidad and Tobago, Central America, Mexico (Tamaulipas)",17000000,2,
Gordon,August 15, August 20,Category 2 hurricane,110 (175),965,Azores (Santa Maria Island),None,None,
Isaac,August 21, September 1,Category 1 hurricane,80 (130),965,"Leeward Islands, Puerto Rico, Hispaniola (Haiti), Cuba, The Bahamas, Southeastern United States (Louisiana), Midwestern United States, Kentucky",3110000000,34 (7),
Joyce,August 22, August 24,Tropical storm,40 (65),1006,None,None,None,
Kirk,August 28, September 2,Category 2 hurricane,105 (165),970,None,None,None,
Leslie,August 30, September 11,Category 1 hurricane,80 (130),968,"Leeward Islands, Bermuda, Atlantic Canada",10100000,None,
Michael,September 3, September 11,Category 3 hurricane,115 (185),964,None,None,None,
Nadine,September 10, October 4,Category 1 hurricane,90 (150),978,"Azores, United Kingdom",Minimal,None,
Oscar,October 3, October 5,Tropical storm,50 (85),994,None,None,None,
Patty,October 11, October 13,Tropical storm,45 (75),1005,The Bahamas,None,None,
Rafael,October 12, October 17,Category 1 hurricane,90 (150),969,"Lesser Antilles, Bermuda, Atlantic Canada, United States East Coast, Azores, Western Europe",2000000,1,
Sandy,October 22, October 29,Category 3 hurricane,115 (185),940,"Greater Antilles (Jamaica, Cuba), The Bahamas, East Coast of the United States (New Jersey), Bermuda, Atlantic Canada",68700000000,148 (138),
Tony,October 22, October 25,Tropical storm,50 (85),1000,None,None,None,
